County,Agency Name, 2021 Population Estimate,Violent Crime Year to Date,Violent Crime Annual Rate,Property Crime Year to Date,Property Crime Annual Rate,Other Crime Year to Date,Other Crime Annual Rate,2021 Q1,2021 Q2,2021 Q3,2021 Q4,Year to Date,Annual Rate,2021 Q1.1,2021 Q2.1,2021 Q3.1,2021 Q4.1,Year to Date.1,Annual Rate.1,2021 Q1.2,2021 Q2.2,2021 Q3.2,2021 Q4.2,Year to Date.2,Annual Rate.2,2021 Q1.3,2021 Q2.3,2021 Q3.3,2021 Q4.3,Year to Date.3,Annual Rate.3,2021 Q1.4,2021 Q2.4,2021 Q3.4,2021 Q4.4,Year to Date.4,Annual Rate.4,2021 Q1.5,2021 Q2.5,2021 Q3.5,2021 Q4.5,Year to Date.5,Annual Rate.5,2021 Q1.6,2021 Q2.6,2021 Q3.6,2021 Q4.6,Year to Date.6,Annual Rate.6,2021 Q1.7,2021 Q2.7,2021 Q3.7,2021 Q4.7,Year to Date.7,Annual Rate.7,2021 Q1.8,2021 Q2.8,2021 Q3.8,2021 Q4.8,Year to Date.8,Annual Rate.8,2021 Q1.9,2021 Q2.9,2021 Q3.9,2021 Q4.9,Year to Date.9,Annual Rate.9,2021 Q1.10,2021 Q2.10,2021 Q3.10,2021 Q4.10,Year to Date.10,Annual Rate.10,2021 Q1.11,2021 Q2.11,2021 Q3.11,2021 Q4.11,Year to Date.11,Annual Rate.11,2021 Q1.12,2021 Q2.12,2021 Q3.12,2021 Q4.12,Year to Date.12,Annual Rate.12,2021 Q1.13,2021 Q2.13,2021 Q3.13,2021 Q4.13,Year to Date.13,Annual Rate.13,2021 Q1.14,2021 Q2.14,2021 Q3.14,2021 Q4.14,Year to Date.14,Annual Rate.14,2021 Q1.15,2021 Q2.15,2021 Q3.15,2021 Q4.15,Year to Date.15,Annual Rate.15,2021 Q1.16,2021 Q2.16,2021 Q3.16,2021 Q4.16,Year to Date.16,Annual Rate.16,2021 Q1.17,2021 Q2.17,2021 Q3.17,2021 Q4.17,Year to Date.17,Annual Rate.17,2021 Q1.18,2021 Q2.18,2021 Q3.18,2021 Q4.18,Year to Date.18,Annual Rate.18,2021 Q1.19,2021 Q2.19,2021 Q3.19,2021 Q4.19,Year to Date.19,Annual Rate.19,2021 Q1.20,2021 Q2.20,2021 Q3.20,2021 Q4.20,Year to Date.20,Annual Rate.20,2021 Q1.21,2021 Q2.21,2021 Q3.21,2021 Q4.21,Year to Date.21,Annual Rate.21,2021 Q1.22,2021 Q2.22,2021 Q3.22,2021 Q4.22,Year to Date.22,Annual Rate.22,2021 Q1.23,2021 Q2.23,2021 Q3.23,2021 Q4.23,Year to Date.23,Annual Rate.23,2021 Q1.24,2021 Q2.24,2021 Q3.24,2021 Q4.24,Year to Date.24,Annual Rate.24,2021 Q1.25,2021 Q2.25,2021 Q3.25,2021 Q4.25,Year to Date.25,Annual Rate.25,2021 Q1.26,2021 Q2.26,2021 Q3.26,2021 Q4.26,Year to Date.26,Annual Rate.26,2021 Q1.27,2021 Q2.27,2021 Q3.27,2021 Q4.27,Year to Date.27,Annual Rate.27,2021 Q1.28,2021 Q2.28,2021 Q3.28,2021 Q4.28,Year to Date.28,Annual Rate.28,2021 Q1.29,2021 Q2.29,2021 Q3.29,2021 Q4.29,Year to Date.29,Annual Rate.29,2021 Q1.30,2021 Q2.30,2021 Q3.30,2021 Q4.30,Year to Date.30,Annual Rate.30,2021 Q1.31,2021 Q2.31,2021 Q3.31,2021 Q4.31,Year to Date.31,Annual Rate.31,2021 Q1.32,2021 Q2.32,2021 Q3.32,2021 Q4.32,Year to Date.32,Annual Rate.32,2021 Q1.33,2021 Q2.33,2021 Q3.33,2021 Q4.33,Year to Date.33,Annual Rate.33,2021 Q1.34,2021 Q2.34,2021 Q3.34,2021 Q4.34,Year to Date.34,Annual Rate.34,2021 Q1.35,2021 Q2.35,2021 Q3.35,2021 Q4.35,Year to Date.35,Annual Rate.35,2021 Q1.36,2021 Q2.36,2021 Q3.36,2021 Q4.36,Year to Date.36,Annual Rate.36
Miami-Dade,South Miami Police Department,"12,071",84.0,695.9,333,2758.7,307,2543.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,9.0,74.6,6.0,2.0,3.0,4.0,15.0,124.3,13,17,16,14,60,497.1,22.0,14.0,17.0,13.0,66,546.8,0.0,1.0,0.0,3.0,4.0,33.1,2.0,1.0,1.0,2.0,6.0,49.7,12,7,9,7,35,290.0,19,17,20,21,77,637.9,4.0,5.0,5.0,2.0,16.0,132.5,3.0,0.0,1.0,1.0,5.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,30,24,29,17,100,828.4,4.0,6.0,10.0,4.0,24,198.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,19,17,21,84,695.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,8.0,8.0,29,240.2,2.0,0.0,0.0,2.0,4.0,33.1,13,16,10,6,45,372.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,17.0,13.0,53,439.1,0.0,1.0,2.0,5.0,8.0,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,14,25,14,76,629.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palm Beach,North Palm Beach Police Department,"13,167",7.0,53.2,67,508.8,100,759.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.6,0.0,0.0,1.0,1.0,2.0,15.2,0,2,0,2,4,30.4,1.0,2.0,1.0,0.0,4,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,5,18,136.7,4,0,2,2,8,60.8,1.0,0.0,3.0,0.0,4.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,6,8,22,167.1,1.0,1.0,2.0,7.0,11,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,10,9,33,250.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,7.6,11,16,8,6,41,311.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,8,60.8,1.0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.6,0.0,0.0,0.0,1.0,1.0,7.6,2,0,4,5,11,83.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palm Beach,West Palm Beach Police Department,"119,255",958.0,803.3,"3,049",2556.7,"3,203",2685.8,2.0,7.0,2.0,8.0,19.0,15.9,35.0,32.0,29.0,37.0,133.0,111.5,60.0,50.0,50.0,54.0,214.0,179.4,126,184,168,114,592,496.4,98.0,92.0,91.0,107.0,388,325.4,3.0,4.0,1.0,0.0,8.0,6.7,1.0,2.0,0.0,0.0,3.0,2.5,123,141,148,114,526,441.1,204,144,149,182,679,569.4,127.0,112.0,78.0,95.0,412.0,345.5,29.0,39.0,46.0,34.0,148.0,124.1,0.0,0.0,2.0,0.0,2.0,1.7,168,151,84,122,525,440.2,113.0,81.0,77.0,87.0,358,300.2,0.0,0.0,0.0,1.0,1.0,0.8,2.0,2.0,2.0,5.0,11.0,9.2,341,320,279,290,"1,230",1031.4,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,11.0,23.0,58,48.6,13.0,9.0,4.0,2.0,28.0,23.5,102,108,93,65,368,308.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,11.0,12.0,40.0,33.5,164.0,142.0,103.0,116.0,525,440.2,15.0,6.0,14.0,10.0,45.0,37.7,0.0,3.0,2.0,5.0,10.0,8.4,39.0,4.0,15.0,24.0,82.0,68.8,8.0,3.0,9.0,1.0,21.0,17.6,3.0,1.0,4.0,0.0,8.0,6.7,132,151,137,103,523,438.6,0.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,46.0,41.0,194,162.7,32.0,14.0,5.0,3.0,54.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.5,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,0.8
Pinellas,Belleair Beach Police Department,"1,632",1.0,61.3,11,674.0,25,1531.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,61.3,1.0,0.0,1.0,1.0,3,183.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,0,1,3,5,306.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,2,122.5,0.0,0.0,1.0,0.0,1,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,8,490.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4,2,7,428.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3,183.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,61.3,1.0,2.0,1.0,0.0,4.0,245.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Belleair Bluffs Police Department,"2,317",5.0,215.8,28,1208.5,43,1855.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,86.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,3,129.5,0.0,0.0,1.0,0.0,1,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,0,11,2,15,647.4,0.0,1.0,1.0,0.0,2.0,86.3,1.0,0.0,0.0,0.0,1.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,129.5,0.0,2.0,1.0,3.0,6,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,3,8,20,863.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,2,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,13,561.1,0.0,2.0,1.0,0.0,3.0,129.5,0.0,0.0,0.0,1.0,1.0,43.2,0.0,1.0,0.0,0.0,1.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Belleair Police Department,"4,324",3.0,69.4,32,740.1,30,693.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,46.3,1.0,0.0,0.0,1.0,2,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,5,3,5,1,14,323.8,0.0,1.0,1.0,0.0,2.0,46.3,0.0,0.0,1.0,2.0,3.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,3,6,138.8,1.0,2.0,1.0,1.0,5,115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,2,1,7,161.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,10,231.3,0.0,0.0,1.0,0.0,1.0,23.1,1.0,1.0,0.0,0.0,2.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,3.0,6.0,138.8,0.0,1.0,0.0,0.0,1.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,City of Seminole,"19,358",32.0,165.3,317,1637.6,416,2149.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,25.8,0.0,1.0,3.0,2.0,6.0,31.0,4,3,9,5,21,108.5,3.0,7.0,4.0,4.0,18,93.0,0.0,0.0,1.0,0.0,1.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,35,8,20,23,86,444.3,15,21,13,10,59,304.8,0.0,5.0,2.0,3.0,10.0,51.7,3.0,11.0,8.0,8.0,30.0,155.0,0.0,1.0,2.0,0.0,3.0,15.5,21,32,19,18,90,464.9,6.0,0.0,8.0,6.0,20,103.3,0.0,1.0,0.0,0.0,1.0,5.2,0.0,0.0,2.0,0.0,2.0,10.3,32,32,33,31,128,661.2,0.0,1.0,0.0,2.0,3.0,15.5,2.0,3.0,1.0,1.0,7,36.2,0.0,0.0,1.0,0.0,1.0,5.2,16,25,24,34,99,511.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,20.7,35.0,28.0,25.0,21.0,109,563.1,2.0,2.0,3.0,4.0,11.0,56.8,1.0,0.0,0.0,0.0,1.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.3,3,0,1,4,8,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,12,62.0,13.0,1.0,7.0,7.0,28.0,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Dunedin Police Department,"36,116",47.0,130.1,364,1007.9,599,1658.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,3.0,15.0,41.5,0.0,2.0,2.0,0.0,4.0,11.1,10,5,5,8,28,77.5,11.0,8.0,6.0,5.0,30,83.1,0.0,1.0,0.0,0.0,1.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,7,29,80.3,32,10,29,20,91,252.0,5.0,5.0,4.0,6.0,20.0,55.4,4.0,4.0,7.0,11.0,26.0,72.0,0.0,2.0,0.0,1.0,3.0,8.3,31,43,26,33,133,368.3,4.0,13.0,3.0,11.0,31,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8,58,61,59,37,215,595.3,0.0,0.0,2.0,1.0,3.0,8.3,4.0,4.0,3.0,5.0,16,44.3,2.0,0.0,2.0,0.0,4.0,11.1,34,33,19,36,122,337.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.3,37.0,38.0,28.0,25.0,128,354.4,5.0,2.0,5.0,5.0,17.0,47.1,1.0,1.0,0.0,0.0,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,13.8,1.0,0.0,2.0,0.0,3.0,8.3,3,1,5,4,13,36.0,0.0,0.0,0.0,1.0,1.0,2.8,4.0,2.0,3.0,4.0,13,36.0,20.0,13.0,10.0,9.0,52.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8
Pinellas,Gulfport Police Department,"11,777",10.0,84.9,316,2683.2,205,1740.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,1.0,8.5,3,1,1,2,7,59.4,5.0,7.0,12.0,10.0,34,288.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,7,4,32,271.7,15,20,32,13,80,679.3,4.0,4.0,3.0,1.0,12.0,101.9,5.0,2.0,4.0,0.0,11.0,93.4,0.0,1.0,0.0,0.0,1.0,8.5,32,31,31,21,115,976.5,10.0,9.0,8.0,4.0,31,263.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,23,24,17,86,730.2,2.0,0.0,0.0,0.0,2.0,17.0,3.0,1.0,0.0,0.0,4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,6,7,22,186.8,0.0,0.0,1.0,0.0,1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,24.0,10.0,54,458.5,0.0,1.0,2.0,2.0,5.0,42.5,1.0,0.0,0.0,0.0,1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,7.0,59.4,0.0,0.0,1.0,0.0,1.0,8.5,3,4,0,1,8,67.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6,50.9,1.0,3.0,2.0,1.0,7.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.5
Pinellas,Indian Rocks Beach PD,"3,696",5.0,135.3,50,1352.8,71,1921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3,4,108.2,3.0,2.0,1.0,0.0,6,162.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,4,8,216.5,2,4,0,1,7,189.4,2.0,0.0,1.0,0.0,3.0,81.2,1.0,1.0,0.0,3.0,5.0,135.3,0.0,0.0,0.0,0.0,0.0,0.0,7,2,5,5,19,514.1,2.0,0.0,0.0,0.0,2,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,11,15,38,1028.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,4,108.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.1,5.0,4.0,3.0,3.0,15,405.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,3,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,27.1,1.0,3.0,0.0,2.0,6.0,162.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Indian Shores Police Department,"1,193",3.0,251.5,22,1844.1,26,2179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,83.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,167.6,0.0,1.0,0.0,1.0,2,167.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,167.6,0.0,0.0,0.0,0.0,0.0,0.0,10,5,3,0,18,1508.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,1,7,586.8,0.0,0.0,1.0,0.0,1.0,83.8,1.0,0.0,1.0,0.0,2,167.6,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,2,8,670.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6,502.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,167.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Madeira Beach Police Department,"3,886",15.0,386.0,102,2624.8,175,4503.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,77.2,0.0,0.0,1.0,0.0,1.0,25.7,4,4,2,1,11,283.1,2.0,2.0,3.0,2.0,9,231.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,10,1,22,566.1,5,10,1,2,18,463.2,3.0,2.0,0.0,1.0,6.0,154.4,3.0,2.0,5.0,3.0,13.0,334.5,0.0,0.0,0.0,0.0,0.0,0.0,11,9,8,1,29,746.3,4.0,1.0,0.0,0.0,5,128.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,23,21,12,80,2058.7,0.0,1.0,0.0,0.0,1.0,25.7,0.0,1.0,1.0,0.0,2,51.5,0.0,1.0,0.0,0.0,1.0,25.7,6,13,12,14,45,1158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,51.5,9.0,5.0,5.0,6.0,25,643.3,1.0,1.0,0.0,1.0,3.0,77.2,0.0,1.0,0.0,0.0,1.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,51.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4,102.9,4.0,1.0,2.0,1.0,8.0,205.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.7
Pinellas,North Redington Beach PD,"1,493",3.0,200.9,17,1138.6,29,1942.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,3,200.9,0.0,0.0,0.0,1.0,1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,67.0,5,2,0,1,8,535.8,0.0,2.0,0.0,0.0,2.0,134.0,0.0,0.0,1.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,4,267.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,10,669.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,134.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,1,6,401.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,10,669.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Oldsmar Police Department,"14,905",17.0,114.1,133,892.3,200,1341.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,4,13,87.2,5.0,6.0,1.0,2.0,14,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.7,18,10,8,11,47,315.3,6,5,10,4,25,167.7,3.0,1.0,6.0,1.0,11.0,73.8,0.0,4.0,1.0,1.0,6.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,2,10,7,7,26,174.4,1.0,1.0,0.0,1.0,3,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,22,26,16,73,489.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,6,10,3,11,30,201.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,13.4,11.0,17.0,9.0,17.0,54,362.3,1.0,4.0,0.0,5.0,10.0,67.1,1.0,0.0,1.0,0.0,2.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.7,0,3,2,0,5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,20.1,3.0,5.0,3.0,3.0,14.0,93.9,0.0,1.0,0.0,0.0,1.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
